trad	simp	py	eng	fra
□	□	biang4	/(Tw) (coll.) cool/awesome/(etymologically, a contracted form of 不一樣|不一样[bu4 yi1 yang4])/often written as ㄅㄧㄤˋ/	
□	□	biu1	/(onom.) pew! (sound of a bullet fired from a gun)/also pr. [biu4]/	
□	□	ging1	/uptight; obstinate; to awkwardly force oneself to do sth (from Taiwanese, Tai-lo pr. [king], often written as ㄍㄧㄥ, no generally accepted hanzi form)/	
㝵	㝵	ai4	/variant of 礙|碍[ai4]/	
㝵	㝵	de2	/to obtain (old variant of 得[de2])/	
㲈	㲈	shao2	/variant of 韶[shao2]/	
㲈	㲈	tao2	/variant of 鞀|鼗[tao2]/	
㹴	㹴	geng1	/terrier/also pr. [geng3]/	
㹴	㹴	geng3		/chien féroce/
㹴犬	㹴犬	geng1 quan3	/terrier/	
㹴犬	㹴犬	geng3 quan3		/terrier (chien)/
㺵	㺵	jiu2		/jade noir/
㺵	㺵	jiu3	/black jade (variant of 玖[jiu3])/	
一場空	一场空	yi1 chang2 kong1	/all in vain; futile/	/futile/
一場空	一场空	yi1 chang3 kong1		/vain/effort inutile/espoirs déçus/
一塊兒	一块儿	yi1 kuai4 r5	/erhua variant of 一塊|一块[yi1 kuai4]/	
一塊兒	一块儿	yi1 kuai4 人/ensemble/au même endroit/		nan
一蹴可幾	一蹴可几	yi1 cu4 ke3 ji1	/to succeed at the first try (idiom)/easy as pie/one can do it at once/	
一蹴可幾	一蹴可几	yi1 cu4 ke3 ji3		/(expr. idiom.) toucher au but du premier coup/succès immédiat/
一部分	一部分	yi1 bu4 fen4		/une partie/la plupart/
一部分	一部分	yi1 bu4 fen5	/portion/part of/subset/	/portion/partie de/sous-ensemble/
丁丁	丁丁	ding1 ding1	"/Tintin, cartoon character//(neologism) (slang) penis (丁丁 resembles ""JJ"", which is short for 雞雞|鸡鸡[ji1 ji1])/"	/Tintin/
丁丁	丁丁	zheng1 zheng1	/sound of chopping wood, chess pieces hitting the board etc/	
上	上	shang3	/used in 上聲|上声[shang3 sheng1]/	
上	上	shang4	/(bound form) up; upper; above; previous/first (of multiple parts)/to climb; to get onto; to go up/to attend (class or university)/(directional complement) up/(noun suffix) on; above/	/monter/grimper/partir pour/mettre/fixer/appliquer (un remède)/supérieur/haut/premier/précédent/
上載	上载	shang4 zai3	/to upload/also pr. [shang4 zai4]/	/upload/uploading/uploader/mettre en ligne/envoyer sur Internet/téléverser/
上載	上载	shang4 zai4		/uploader/téléverser/
上面	上面	shang4 mian4	/on top of/above-mentioned/also pr. [shang4 mian5]/	/au dessus de/mentionné ci-dessus/
上面	上面	shang4 mian5		/dessus/supérieur/là-haut/sur/ci-dessus/
下個	下个	xia4 ge4		/prochain (en parlant de la semaine ou du mois)/suivant/
下個	下个	xia4 ge5	/second (of two parts)/next (week etc)/subsequent/the following/	
下面	下面	xia4 mian4	/below/under/next/the following/also pr. [xia4 mian5]/	
下面	下面	xia4 mian5		/prochain/suivant/inférieur/subalterne/bas/dessous/en bas/au-dessous/en-dessous/
丌	丌	ji1	"/surname Ji//""pedestal"" component in Chinese characters/"	
丌	丌	qi2	/archaic variant of 其[qi2]/	/(arch.) son/sa/ses/leur/leurs/il(s)/elle(s)/ceci/cela/
不中用	不中用	bu4 zhong1 yong4	/unfit for anything/no good/useless/(of a sick person) beyond hope/	/inutilisable/propre à rien/incapable/inutile/bon à rien/
不中用	不中用	bu4 zhong4 yong4		/impropre à tout/inutile/au-delà de tout espoir/
不捨	不舍	bu4 she3	/reluctant to part with (sth or sb); unwilling to let go of/	
不捨	不舍	bu4 she4		/réticent à se séparer (de qqn ou qch)/réticent à lâcher/
不是	不是	bu2 shi5		/faute/blâme/
不是	不是	bu4 shi4	/no/is not/not/	/non/ce n'est pas/
不是	不是	bu4 shi5	/fault; blame/	
世故	世故	shi4 gu4	/the ways of the world/	
世故	世故	shi4 gu5	/sophisticated/worldly-wise/	/connaissance des usages du monde/expérience de la vie/entregent/savoir-vivre/
中伏	中伏	zhong1 fu2	/the second of the three annual periods of hot weather (三伏[san1 fu2]), which begins in late July and lasts either 10 or 20 days, depending on the Chinese calendar in that year/	
中伏	中伏	zhong4 fu2	/to be ambushed/	
中招	中招	zhong1 zhao1	/senior high school enrollment/	
中招	中招	zhong4 zhao1	/(martial arts) to get hit; to get taken down/(fig.) to get infected (disease or computer virus)/(fig.) to fall for sb's trap; to be taken in/	/être infecté/ tomber dans le piège de qqn/
中用	中用	zhong1 yong4	/useful/helpful/Taiwan pr. [zhong4 yong4]/	
中用	中用	zhong4 yong4		/être utile/utilisable/efficace/
中試	中试	zhong1 shi4	/pilot test (in product development etc)/	
中試	中试	zhong4 shi4	/to pass a test/	
丱	丱	guan4	/two tufts of hair/young/underage/	
丱	丱	kuang4	/archaic variant of 礦|矿[kuang4]/	/touffes des cheveux/
丷	丷	ba1	"/""eight"" component in Chinese characters/archaic variant of 八[ba1]/"	
